idn	jahrzehnt	count	name	lat	lon
040650839	1560	15	Weikersheim	49.478659	9.89977
040239969	1560	3	Heidelberg	49.407678999999995	8.690789
040343677	1560	18	Landshut	48.533328999999995	12.15
040648354	1560	15	Wasungen	50.6619	10.369469
040384535	1560	15	Meiningen	50.567869	10.41521
040023648	1560	34	Antwerpen	51.219889	4.403459
040678970	1560	29	Zittau	50.897719	14.807639000000002
040181227	1560	11	Frankfurt (Oder)	52.346944	14.550555
040769828	1560	20	Salzburg	47.799166	13.043888
040345084	1560	2	Bad Langensalza	51.1075	10.645833
040243443	1560	4	Helmstedt	52.227899	11.00985
040082164	1560	3	Breslau	51.1	17.033329000000002
040582825	1560	5	Stuttgart	48.782222	9.176944
040129950	1560	26	Dresden	51.05089	13.738319
040573923	1560	12	Stettin	53.428888	14.552776999999999
040182665	1560	29	Freiberg	50.910833000000004	13.338610999999998
04036934X	1560	4	Magdeburg	52.1275	11.629166
040604462	1560	27	Torgau	51.560159999999996	12.996169
040182665	1570	29	Freiberg	50.910833000000004	13.338610999999998
04008065X	1570	5	Braunschweig	52.26594	10.52673
040678970	1570	29	Zittau	50.897719	14.807639000000002
040181189	1570	15	Frankfurt am Main	50.115277	8.684166000000001
040243443	1570	4	Helmstedt	52.227899	11.00985
040763102	1570	70	Prag	50.088039	14.420759
040270963	1570	20	Innsbruck	47.2625	11.394444
040582825	1570	4	Stuttgart	48.782222	9.176944
040076164	1570	5	Bologna	44.493888	11.338888
040181227	1570	11	Frankfurt (Oder)	52.346944	14.550555
040611477	1570	6	Tübingen	48.522659999999995	9.05222
040365123	1570	229	Lüneburg	53.25083299999999	10.413888
04053684X	1570	22	Schwäbisch Hall	49.111269	9.739078999999998
040555488	1570	229	Sondershausen	51.369729	10.87011
040384535	1570	15	Meiningen	50.567869	10.41521
040573923	1570	12	Stettin	53.428888	14.552776999999999
04036934X	1570	4	Magdeburg	52.1275	11.629166
040214419	1570	2	Görlitz	51.155	14.988332999999999
040103250	1570	57	Coburg	50.259166	10.963611
040648354	1570	15	Wasungen	50.6619	10.369469
040082164	1570	3	Breslau	51.1	17.033329000000002
041277937	1570	49	München	48.137221999999994	11.575277
040110397	1570	3	Danzig	54.352049	18.64637
040239969	1570	3	Heidelberg	49.407678999999995	8.690789
040506983	1570	22	Rothenburg ob der Tauber	49.378611	10.186944
040345084	1570	2	Bad Langensalza	51.1075	10.645833
040650839	1570	15	Weikersheim	49.478659	9.89977
